ensg	ensp	name
ENSMUSG00000040502	ENSMUSP00000041581 	March9
ENSMUSG00000038451	ENSMUSP00000041585 	Spsb2
ENSMUSG00000042730	ENSMUSP00000041591 	Gm9775
ENSMUSG00000041058	ENSMUSP00000041627 	Wwp1
ENSMUSG00000066640	ENSMUSP00000041700 	Fbxl18
ENSMUSG00000040724	ENSMUSP00000041702 	Kcna2
ENSMUSG00000037816	ENSMUSP00000041750 	Fbxw17
ENSMUSG00000041740	ENSMUSP00000041778 	Rnf10
ENSMUSG00000033623	ENSMUSP00000041790 	Pcgf3
ENSMUSG00000039873	ENSMUSP00000041806 	Neurl2
ENSMUSG00000034342	ENSMUSP00000041902 	Cbl
ENSMUSG00000039100	ENSMUSP00000041934 	March6
ENSMUSG00000033454	ENSMUSP00000041955 	Zbtb1
ENSMUSG00000039067	ENSMUSP00000041968 	Psmd7
ENSMUSG00000042514	ENSMUSP00000042015 	Klhl14
ENSMUSG00000040410	ENSMUSP00000042219 	Fbxl4
ENSMUSG00000040102	ENSMUSP00000042558 	Klhdc5
ENSMUSG00000036537	ENSMUSP00000042569 	Rnf113a1
ENSMUSG00000041180	ENSMUSP00000042646 	Hectd2
ENSMUSG00000039372	ENSMUSP00000042803 	March4
ENSMUSG00000033967	ENSMUSP00000042816 	2310014L17Rik
ENSMUSG00000040749	ENSMUSP00000043215 	Siah1b
ENSMUSG00000033233	ENSMUSP00000043389 	Trim45
ENSMUSG00000039483	ENSMUSP00000043462 	Asb6
ENSMUSG00000040270	ENSMUSP00000043693 	Bach2
ENSMUSG00000033596	ENSMUSP00000043780 	Rfwd3
ENSMUSG00000038056	ENSMUSP00000043874 	Mll3
ENSMUSG00000033653	ENSMUSP00000043879 	Vps8
ENSMUSG00000034928	ENSMUSP00000043974 	Rnf44
ENSMUSG00000036469	ENSMUSP00000044070 	March1
ENSMUSG00000036840	ENSMUSP00000044123 	Siah1a
ENSMUSG00000038784	ENSMUSP00000044137 	Cnot4
ENSMUSG00000034177	ENSMUSP00000044241 	Rnf43
ENSMUSG00000034110	ENSMUSP00000044568 	Kctd7
ENSMUSG00000036986	ENSMUSP00000044626 	Pml
ENSMUSG00000040415	ENSMUSP00000044627 	Dtx3
ENSMUSG00000031382	ENSMUSP00000044637 	Asb11
ENSMUSG00000037536	ENSMUSP00000044675 	Fbxo34
ENSMUSG00000038664	ENSMUSP00000044801 	Herc1
ENSMUSG00000033228	ENSMUSP00000044898 	Scaf11
ENSMUSG00000034552	ENSMUSP00000044913 	Zswim2
ENSMUSG00000035235	ENSMUSP00000045009 	Trim13
ENSMUSG00000033732	ENSMUSP00000045073 	Sf3b3
ENSMUSG00000035337	ENSMUSP00000045208 	Uchl4
ENSMUSG00000028042	ENSMUSP00000045565 	Zbtb7b
ENSMUSG00000033964	ENSMUSP00000045570 	Zbtb41
ENSMUSG00000039753	ENSMUSP00000045792 	Fbxl5
ENSMUSG00000034391	ENSMUSP00000045925 	Fbxo15
ENSMUSG00000033004	ENSMUSP00000045930 	Mycbp2
ENSMUSG00000039000	ENSMUSP00000045998 	Ube3c
ENSMUSG00000090173	ENSMUSP00000046156 	Fbxw10
ENSMUSG00000040785	ENSMUSP00000046251 	Ttc3
ENSMUSG00000038495	ENSMUSP00000046413 	Otud7b
ENSMUSG00000037075	ENSMUSP00000046467 	Rnf139
ENSMUSG00000033781	ENSMUSP00000046476 	Asb13
ENSMUSG00000035247	ENSMUSP00000046766 	Hectd1
ENSMUSG00000036822	ENSMUSP00000046843 	Topors
ENSMUSG00000041702	ENSMUSP00000046951 	Btbd7
ENSMUSG00000032867	ENSMUSP00000047012 	Fbxw8
ENSMUSG00000033182	ENSMUSP00000047155 	Kbtbd12
ENSMUSG00000035011	ENSMUSP00000047333 	Zbtb7a
ENSMUSG00000048814	ENSMUSP00000047372 	Lonrf2
ENSMUSG00000038175	ENSMUSP00000047403 	Mylip
