ensg	ensp	name
ENSG00000148356	ENSP00000300417 	LRSAM1
ENSG00000167257	ENSP00000300650 	RNF214
ENSG00000167333	ENSP00000300747 	TRIM68
ENSG00000170832	ENSP00000300896 	USP32
ENSG00000167487	ENSP00000300976 	KLHL26
ENSG00000167548	ENSP00000301067 	MLL2
ENSG00000141576	ENSP00000301610 	RNF157
ENSG00000167977	ENSP00000301738 	KCTD5
ENSG00000167986	ENSP00000301764 	DDB1
ENSG00000104228	ENSP00000301924 	TRIM35
ENSG00000106346	ENSP00000301962 	USP42
ENSG00000162298	ENSP00000302035 	SYVN1
ENSG00000171206	ENSP00000302120 	TRIM8
ENSG00000138592	ENSP00000302239 	USP8
ENSG00000168427	ENSP00000302386 	KLHL30
ENSG00000170852	ENSP00000302586 	KBTBD2
ENSG00000090316	ENSP00000302830 	MAEA
ENSG00000130584	ENSP00000303102 	ZBTB46
ENSG00000170185	ENSP00000303434 	USP38
ENSG00000170142	ENSP00000303709 	UBE2E1
ENSG00000170881	ENSP00000304051 	RNF139
ENSG00000168090	ENSP00000304102 	COPS6
ENSG00000171126	ENSP00000304127 	KCNG3
ENSG00000170153	ENSP00000304321 	RNF150
ENSG00000174231	ENSP00000304350 	PRPF8
ENSG00000189050	ENSP00000304670 	RNFT1
ENSG00000171150	ENSP00000305133 	SOCS5
ENSG00000169871	ENSP00000305161 	TRIM56
ENSG00000091073	ENSP00000305242 	DTX2
ENSG00000129204	ENSP00000305473 	USP6
ENSG00000172476	ENSP00000305648 	RAB40A
ENSG00000168676	ENSP00000305702 	KCTD19
ENSG00000005700	ENSP00000305721 	IBTK
ENSG00000189091	ENSP00000305790 	SF3B3
ENSG00000172262	ENSP00000305804 	ZNF131
ENSG00000170745	ENSP00000305824 	KCNS3
